city,mc,product_desc,date,net_sales,tot_qty,discount,mop,footfall
city3,ABCD,Prod2,19-06-2018,2660.9,24,171.1,118,6399
city2,ABCD,Prod5,07-02-2019,269,1,0,269,3315
city3,ABCD,Prod8,20-12-2018,507.6,1,32.4,540,4655
city2,ABCD,Prod10,11-07-2018,170,1,85,255,5704
city1,ABCD,Prod11,07-10-2018,389,1,25,414,1858
city3,ABCD,Prod12,26-03-2018,924.96,10,59.04,98.4,4893
city3,ABCD,Prod15,17-05-2018,1560,3,1560,1040,6518
city2,ABCD,Prod16,04-08-2018,540,2,0,270,5340
city3,ABCD,Prod17,31-05-2018,5514.78,6,773.22,1048,7600
city2,ABCD,Prod18,10-04-2018,714.4,2,45.6,380,3419
city3,ABCD,Prod19,25-07-2018,1254.62,14,5.38,90,11426
city2,ABCD,Prod20,04-04-2018,385,1,0,385,4798
city1,ABCD,Prod17,30-03-2018,1970.24,2,125.76,1048,1371
city1,ABCD,Prod21,25-04-2018,4700,5,295,999,1772
city3,ABCD,Prod22,07-08-2018,699,1,100,799,6125
city3,ABCD,Prod12,16-11-2018,398.56,4,25.44,106,6046
city2,ABCD,Prod16,16-11-2018,263.2,1,16.8,280,4024
city1,ABCD,Prod23,05-02-2018,630,1,60,690,775
city2,ABCD,Prod26,26-05-2018,115.72,1,10.28,126,6225
city1,ABCD,Prod27,09-03-2018,35,1,0,35,1155
city3,ABCD,Prod28,21-09-2018,424,2,20,222,5866
city3,ABCD,Prod29,06-02-2018,110,2,0,55,4852
city3,ABCD,Prod30,24-10-2018,2025,15,0,135,11658
city1,ABCD,Prod24,20-03-2019,1744.64,32,111.36,58,1553
city3,ABCD,Prod31,30-12-2018,1306.6,5,83.4,278,9266
city1,ABCD,Prod12,22-03-2018,152.36,2,27.64,90,490
city1,ABCD,Prod14,13-03-2019,1636,4,520,539,1377
city2,ABCD,Prod32,15-10-2018,1240,8,200,180,4079
city3,ABCD,Prod34,11-06-2018,693.72,7,50.64,106.3371,6983
city3,ABCD,Prod4,31-01-2019,55,1,0,55,5862
city3,ABCD,Prod7,01-04-2018,409,6,0,68.1666,10157
city1,ABCD,Prod6,08-02-2019,1998,2,200,1099,1051
city3,ABCD,Prod1,25-04-2018,510,1,135,645,8071
city3,ABCD,Prod37,15-12-2018,39,1,0,39,7440
city3,ABCD,Prod19,08-06-2018,900,10,0,90,7213
city2,ABCD,Prod32,12-08-2018,7277.84,47,1182.16,180,10939
city3,ABCD,Prod39,30-07-2018,1044,3,0,348,5804
city2,ABCD,Prod24,06-03-2019,1363,25,87,58,4228
city1,ABCD,Prod10,05-06-2018,219,1,36,255,1460
city2,ABCD,Prod35,07-02-2019,140,5,0,28,3315
city3,ABCD,Prod41,20-12-2018,526.4,1,33.6,560,4655
